Date,Min Delay,Min Gap,Hour,Month,DayFriday,DayMonday,DaySaturday,DaySunday,DayThursday,DayTuesday,DayWednesday
2023-01-02T00:00:00Z,6,11,20,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,6,12,21,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,4,10,21,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,3,8,21,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,0,0,22,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,0,0,22,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,0,0,22,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,0,0,22,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,0,0,22,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,0,0,22,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,0,0,23,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,14,20,23,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,0,0,23,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,14,20,0,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,0,0,1,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,0,0,22,January,0,1,0,0,0,0,0
2023-01-02T00:00:00Z,76,81,0,January,0,1,0,0,0,0,0
2023-01-03T00:00:00Z,0,0,2,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,5,10,15,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,5,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,22,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,5,10,6,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,12,18,6,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,6,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,3,6,6,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,6,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,5,8,6,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,5,8,6,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,8,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,9,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,6,9,9,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,10,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,12,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,12,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,5,8,12,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,14,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,3,6,15,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,3,6,15,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,17,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,5,8,17,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,5,8,17,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,3,6,17,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,3,6,17,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,5,8,17,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,18,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,0,0,18,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,3,6,18,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,15,18,18,January,0,0,0,0,0,1,0
2023-01-03T00:00:00Z,6,9,18,January,0,0,0,0,0,1,0
